Age_Adjusted_Incd_Rate,Unemployment_rate_,Percent of adults completing some college or associate degree,Percent of adults who are high school graduates (or equivalent),Percent of adults who are not high school graduates,Percent of adults with a bachelor's degree or higher
530.7,5.57,21.7,40.4,21.6,16.3
530.5,5.4799999999999995,17.2,38.5,33.1,11.2
530.4,6.62,19.7,37.9,33.5,8.8
530.2,6.85,18.0,39.8,31.4,10.7
530.2,6.24,16.1,35.1,41.8,7.0
530.1,5.470000000000001,25.4,43.0,19.6,12.0
530.1,5.8100000000000005,25.8,38.5,22.2,13.5
530.0,3.67,29.6,34.7,19.4,16.3
530.0,4.34,30.9,38.6,16.0,14.5
529.9,5.87,23.0,45.3,16.3,15.4
529.8,5.33,25.9,38.1,23.9,12.1
529.7,5.14,25.9,35.7,20.9,17.5
529.6,5.34,27.0,38.4,14.3,20.3
529.6,5.79,19.4,44.1,25.3,11.3
529.5,5.38,29.7,35.7,17.1,17.4
529.3,4.29,26.8,32.8,21.0,19.3
529.2,3.44,27.7,34.9,21.6,15.7
529.2,3.87,32.4,24.0,8.9,34.7
529.2,8.28,30.9,34.4,23.3,11.3
529.0,5.16,25.4,33.8,15.8,25.0
529.0,5.87,28.8,33.3,19.7,18.1
528.8,5.0600000000000005,25.5,36.9,15.7,22.0
528.8,8.02,13.8,32.0,44.1,10.2
528.6,4.16,27.2,38.5,20.2,14.1
528.6,8.57,20.0,36.0,35.4,8.7
528.4,5.34,16.5,37.8,37.1,8.5
528.3,6.909999999999999,25.2,38.0,23.1,13.7
528.0,3.5,31.0,38.3,13.5,17.2
527.7,4.99,30.3,37.6,18.4,13.7
527.7,7.27,32.7,38.9,13.1,15.2
527.2,6.13,19.8,41.5,28.9,9.9
527.1,4.7,25.9,27.4,12.1,34.6
527.1,4.25,21.0,37.9,30.0,11.0
527.0,7.37,16.0,38.0,36.8,9.3
526.9,5.4399999999999995,21.6,44.1,24.0,10.2
526.8,5.05,27.6,35.4,20.5,16.5
526.8,7.18,21.5,49.5,18.7,10.3
526.6,7.15,17.1,40.2,31.8,10.9
526.4,5.4399999999999995,29.0,34.6,24.3,12.2
526.4,6.15,25.3,39.2,21.9,13.6
526.3,4.08,27.7,34.4,19.0,18.9
526.3,7.25,17.8,34.4,38.2,9.6
526.1,8.040000000000001,23.0,39.6,27.0,10.5
